year,level,name,race,group,estimate,moe,share,sharemoe
2021,1_state,Connecticut,total,ages25plus,2515137,11986,NA,NA
2021,1_state,Connecticut,total,less_than_hs,225021,4095,0.09,0.002
2021,1_state,Connecticut,total,high_school,656949,5778,0.26,0.002
2021,1_state,Connecticut,total,some_college_aa,613201,6292,0.24,0.002
2021,1_state,Connecticut,total,bachelors_plus,1019966,7344,0.41,0.002
2021,1_state,Connecticut,white,ages25plus,1746851,8137,NA,NA
2021,1_state,Connecticut,white,less_than_hs,87354,2092,0.05,0.001
2021,1_state,Connecticut,white,high_school,433615,4091,0.25,0.002
2021,1_state,Connecticut,white,some_college_aa,429242,4585,0.25,0.002
2021,1_state,Connecticut,white,bachelors_plus,796640,4907,0.46,0.002
2021,1_state,Connecticut,black,ages25plus,253617,4355,NA,NA
2021,1_state,Connecticut,black,less_than_hs,31283,1432,0.12,0.005
2021,1_state,Connecticut,black,high_school,85508,2486,0.34,0.008
2021,1_state,Connecticut,black,some_college_aa,75484,2375,0.3,0.008
2021,1_state,Connecticut,black,bachelors_plus,61342,2256,0.24,0.008
2021,1_state,Connecticut,latino,ages25plus,351539,5053,NA,NA
2021,1_state,Connecticut,latino,less_than_hs,92703,2578,0.26,0.006
2021,1_state,Connecticut,latino,high_school,111621,2815,0.32,0.007
2021,1_state,Connecticut,latino,some_college_aa,83759,2394,0.24,0.006
2021,1_state,Connecticut,latino,bachelors_plus,63456,2287,0.18,0.006
2021,1_state,Connecticut,asian,ages25plus,114298,2004,NA,NA
2021,1_state,Connecticut,asian,less_than_hs,11299,767,0.1,0.006
2021,1_state,Connecticut,asian,high_school,14292,918,0.13,0.008
2021,1_state,Connecticut,asian,some_college_aa,12918,883,0.11,0.007
2021,1_state,Connecticut,asian,bachelors_plus,75789,1344,0.66,0.002
2021,1_state,Connecticut,aian,ages25plus,5601,549,NA,NA
2021,1_state,Connecticut,aian,less_than_hs,1215,286,0.22,0.046
2021,1_state,Connecticut,aian,high_school,1377,243,0.25,0.036
2021,1_state,Connecticut,aian,some_college_aa,1787,324,0.32,0.049
2021,1_state,Connecticut,aian,bachelors_plus,1222,235,0.22,0.036
2021,1_state,Connecticut,other_race,ages25plus,246907,4806,NA,NA
2021,1_state,Connecticut,other_race,less_than_hs,58521,2363,0.24,0.008
2021,1_state,Connecticut,other_race,high_school,77575,2747,0.31,0.009
2021,1_state,Connecticut,other_race,some_college_aa,56899,2167,0.23,0.008
2021,1_state,Connecticut,other_race,bachelors_plus,53912,2296,0.22,0.008
2021,2_county,Fairfield County,total,ages25plus,654962,5939,NA,NA
2021,2_county,Fairfield County,total,less_than_hs,64225,2248,0.1,0.003
2021,2_county,Fairfield County,total,high_school,136454,2615,0.21,0.004
2021,2_county,Fairfield County,total,some_college_aa,131954,2906,0.2,0.004
2021,2_county,Fairfield County,total,bachelors_plus,322329,3864,0.49,0.004
2021,2_county,Fairfield County,white,ages25plus,414352,3636,NA,NA
2021,2_county,Fairfield County,white,less_than_hs,15957,882,0.04,0.002
2021,2_county,Fairfield County,white,high_school,72564,1819,0.18,0.004
2021,2_county,Fairfield County,white,some_college_aa,78027,1835,0.19,0.004
2021,2_county,Fairfield County,white,bachelors_plus,247804,2400,0.6,0.002
2021,2_county,Fairfield County,black,ages25plus,72886,2132,NA,NA
2021,2_county,Fairfield County,black,less_than_hs,9647,678,0.13,0.008
2021,2_county,Fairfield County,black,high_school,21876,1208,0.3,0.014
2021,2_county,Fairfield County,black,some_college_aa,21960,1151,0.3,0.013
2021,2_county,Fairfield County,black,bachelors_plus,19403,1141,0.27,0.014
2021,2_county,Fairfield County,latino,ages25plus,118217,2797,NA,NA
2021,2_county,Fairfield County,latino,less_than_hs,33941,1467,0.29,0.01
