indicator,level,name,sex,race_eth,median_earnings,median_earnings_se,median_earnings_low,median_earnings_upp
total,state,Connecticut,total,total,66896,429.5904954826796,66316,68000
total,region,Backus Hospital HSA,total,total,60000,1558.7375556182321,57474,63586
total,region,Capitol Region COG,total,total,66316,594.3555506962217,65705,68035
total,region,Charlotte Hungerford HSA,total,total,64105,765.1821150795604,63000,66000
total,region,Connecticut Metro COG,total,total,64895,844.2556212722837,63586,66896
total,region,Eastern Connecticut Health Network,total,total,63000,1047.2833874746498,60789,64895
total,region,Fairfield County,total,total,76409,853.0093656213357,75158,78502
total,region,Greater Bridgeport,total,total,64895,844.2556212722837,63586,66896
total,region,Greater Danbury,total,total,70737,1288.9147690550778,69000,74053
total,region,Greater Hartford,total,total,66316,594.3555506962217,65705,68035
total,region,Greater New Haven,total,total,64738,696.3463138879546,63586,66316
total,region,Greater Norwalk,total,total,99000,1907.9696838588332,94203,101684
total,region,Greater Waterbury,total,total,63586,560.6201930521455,62802,65000
total,region,Hartford County,total,total,65000,402.5247612445053,64738,66316
total,region,Hartford Foundation,total,total,68884,544.0931657450158,68000,70133
total,region,Hartford Hospital HSA,total,total,64738,696.3654549334666,63586,66316
total,region,Health Improvement Collaborative of Southeastern Connecticut area,total,total,67825,1335.8851055301195,64895,70133
total,region,Hospital of Central Connecticut HSA,total,total,61895,914.6604027883131,60000,63586
total,region,Litchfield County,total,total,63000,969.5824639140824,60936,64738
total,region,Lower Connecticut River Valley COG,total,total,70133,1409.6324084261437,68526,74053
total,region,Lower Naugatuck Valley,total,total,72222,878.9361539556947,70737,74183
total,region,MidState Medical Center HSA,total,total,62802,834.5348456676136,61466,64738
total,region,Middlesex County,total,total,70133,1567.6795503061755,68035,74183
total,region,Natchaug Hospital HSA,total,total,64000,671.0543500125478,62580,65211
total,region,Naugatuck Valley COG,total,total,64895,696.3770314462868,63586,66316
total,region,New Haven County,total,total,63586,533.8838322327994,62802,64895
total,region,New London County,total,total,64738,993.6251185844494,63000,66896
total,region,North Central DMHAS,total,total,65942,550.4873415665828,64738,66896
total,region,Northeastern Connecticut COG,total,total,55263,1100.325701262045,53948,58264
total,region,Northwest Hills COG,total,total,63000,834.522985348117,61466,64738
total,region,QVHD,total,total,64738,896.1467977263601,62802,66316
total,region,Sharon Hospital HSA,total,total,63000,969.5824639140824,60936,64738
total,region,South Central DMHAS,total,total,65705,517.0584201041365,64738,66765
total,region,South Central Regional COG,total,total,63586,560.6480578482506,62802,65000
total,region,Southeastern Connecticut COG,total,total,63586,1032.2188643195723,61895,65942
total,region,Southeastern DMHAS,total,total,63000,1007.2732550074696,60789,64738
total,region,Southwestern DMHAS,total,total,77455,1140.9826082005525,75527,80000
total,region,St. Vincent's Medical Center HSA,total,total,65705,787.407588332521,64738,67825
total,region,Stamford Hospital HSA,total,total,84781,1651.462647565502,82000,88475
total,region,Tolland County,total,total,71842,1599.660658638935,68884,75158
total,region,Western Connecticut COG,total,total,82689,1219.5799173656028,80000,84781
total,region,Western DMHAS,total,total,65211,517.0503503928412,64738,66765
total,region,Windham County,total,total,55263,1100.325701262045,53948,58264
total,region,Windham Hospital HSA,total,total,64000,671.0543500125478,62580,65211
total,puma,0900100,total,total,72064,1664.3373993127666,69000,75527
total,puma,0900101,total,total,121579,3333.795929356448,115136,128211
total,puma,0900102,total,total,84781,1868.4650573874633,81642,88969
total,puma,0900103,total,total,90080,2337.400005184082,86211,95378
total,puma,0900104,total,total,44211,898.2778944519592,43105,46629
total,puma,0900105,total,total,78502,1708.0298861378237,76197,82895
total,puma,0900300,total,total,69944,1409.137240337946,66316,71842
